City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Tunceli,TR,81.46,scattered clouds,39.1083,39.5471,
4,Iralaya,HN,86.09,broken clouds,15.0,-83.2333,
9,Cayenne,GF,77.04,mist,4.9333,-52.3333,
11,Victoria,HK,86.32,light rain,22.2855,114.1577,
12,Kavaratti,IN,82.42,scattered clouds,10.5669,72.642,
14,Kavieng,PG,80.83,light rain,-2.5744,150.7967,
16,Monrovia,LR,80.1,overcast clouds,6.3005,-10.7969,
22,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,
25,Kapaa,US,77.32,broken clouds,22.0752,-159.319,
32,Makakilo City,US,75.69,clear sky,21.3469,-158.0858,
33,Ponta Do Sol,PT,77.72,scattered clouds,32.6667,-17.1,
35,Butaritari,KI,81.0,light rain,3.0707,172.7902,
41,Merauke,ID,76.21,heavy intensity rain,-8.4667,140.3333,
43,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,
50,Cabo San Lucas,MX,83.14,broken clouds,22.8909,-109.9124,
52,Ambilobe,MG,78.96,scattered clouds,-13.2,49.05,
53,Faanui,PF,78.1,light rain,-16.4833,-151.75,
56,Yanam,IN,82.8,moderate rain,16.7333,82.2167,
59,Moyobamba,PE,78.89,broken clouds,-6.05,-76.9667,
70,Marsh Harbour,BS,83.66,broken clouds,26.5412,-77.0636,
71,Bonoua,CI,82.02,broken clouds,5.2741,-3.595,
77,Touros,BR,88.7,few clouds,-5.1989,-35.4608,
79,Filadelfia,US,76.21,few clouds,39.9523,-75.1638,
84,Ban Tak,TH,76.1,overcast clouds,17.0432,99.0813,
85,Nabire,ID,75.6,moderate rain,-3.3667,135.4833,
92,Tiarei,PF,77.02,scattered clouds,-17.5333,-149.3333,
93,Hamilton,US,76.39,broken clouds,39.1834,-84.5333,
95,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,
97,Bengkulu,ID,76.91,overcast clouds,-3.8004,102.2655,
101,Avarua,CK,75.25,few clouds,-21.2078,-159.775,
105,Kulhudhuffushi,MV,82.31,scattered clouds,6.6221,73.07,
115,Dawson,US,79.18,overcast clouds,31.7735,-84.4466,
117,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,
123,Ojinaga,MX,84.58,clear sky,29.5667,-104.4167,
125,Labuan,MY,77.16,moderate rain,5.2767,115.2417,
126,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,
129,Kuryk,KZ,76.12,clear sky,43.2,51.65,
133,Porto Novo,BJ,85.03,light rain,6.4965,2.6036,
137,Mumford,GH,79.45,light rain,5.2618,-0.759,
139,Hithadhoo,MV,84.18,broken clouds,-0.6,73.0833,
141,San Patricio,US,88.88,clear sky,28.017,-97.5169,
143,Birao,CF,81.45,light rain,10.2849,22.7882,
144,Taitung,TW,81.66,scattered clouds,22.7583,121.1444,
145,Beroroha,MG,84.07,scattered clouds,-21.6667,45.1667,
146,Buala,SB,79.38,light rain,-8.145,159.5921,
148,Alugan,PH,79.52,overcast clouds,12.2188,125.4808,
149,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,
150,Arraial Do Cabo,BR,78.66,scattered clouds,-22.9661,-42.0278,
155,Shiraz,IR,85.44,few clouds,29.6036,52.5388,
156,Sembe,CG,85.91,broken clouds,1.6481,14.5806,
157,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,
158,Georgetown,MY,78.89,few clouds,5.4112,100.3354,
160,Lorengau,PG,79.81,light rain,-2.0226,147.2712,
161,Binabalian,PH,83.39,broken clouds,16.4202,119.9279,
168,Dicabisagan,PH,79.92,overcast clouds,17.0818,122.4157,
172,Kalmunai,LK,81.88,scattered clouds,7.4167,81.8167,
176,Bairiki,KI,80.74,light rain,1.3292,172.9752,
177,Lata,PT,81.36,clear sky,40.1629,-8.3327,
179,Vanimo,PG,77.95,overcast clouds,-2.6741,141.3028,
182,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,
183,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,
184,Castro,BR,85.77,clear sky,-24.7911,-50.0119,
185,Samfya,ZM,85.55,clear sky,-11.3649,29.5565,
189,Dzemul,MX,85.05,scattered clouds,21.2,-89.3,
190,Pakxan,LA,75.58,broken clouds,18.3778,103.6601,
192,Cumberland,US,81.7,broken clouds,35.0502,-78.8664,
195,Salalah,OM,80.69,broken clouds,17.0151,54.0924,
200,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,
205,Ankazoabo,MG,78.93,clear sky,-22.2833,44.5167,
210,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,
213,Sur,OM,87.48,clear sky,22.5667,59.5289,
214,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,
219,Hobyo,SO,78.44,overcast clouds,5.3505,48.5268,
221,Utete,TZ,80.1,broken clouds,-7.986,38.758,
225,Barcelos,PT,80.92,clear sky,41.5388,-8.6151,
227,Yambio,SS,76.87,moderate rain,4.5721,28.3955,
228,Omboue,GA,77.99,overcast clouds,-1.5746,9.2618,
232,Nara,JP,76.28,clear sky,34.6851,135.8049,
236,Hambantota,LK,81.7,overcast clouds,6.1241,81.1185,
