City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,69.78,73,10,3.6,PT,2021-09-15 04:34:58
1,Emerald,-23.5333,148.1667,78.94,14,5,9.22,AU,2021-09-15 04:34:59
2,Batemans Bay,-35.7167,150.1833,66.2,58,72,9.46,AU,2021-09-15 04:34:59
3,Tashtyp,52.7939,89.8983,56.53,52,100,6.82,RU,2021-09-15 04:34:59
4,Kaitangata,-46.2817,169.8464,50.83,59,24,7.52,NZ,2021-09-15 04:34:59
5,Castro,-24.7911,-50.0119,62.06,99,85,3.09,BR,2021-09-15 04:32:17
6,Jamestown,42.097,-79.2353,74.71,83,1,12.66,US,2021-09-15 04:30:18
7,Sale,34.0389,-6.8166,69.75,94,14,5.75,MA,2021-09-15 04:35:00
8,Palmer,42.1584,-72.3287,67.86,78,90,3.0,US,2021-09-15 04:34:06
9,Qaanaaq,77.484,-69.3632,15.26,90,64,6.49,GL,2021-09-15 04:35:00
10,Sao Joao Da Barra,-21.6403,-41.0511,72.72,88,5,16.24,BR,2021-09-15 04:35:00
11,Hobart,-42.8794,147.3294,57.22,58,75,5.75,AU,2021-09-15 04:35:01
12,Khatanga,71.9667,102.5,46.56,62,78,3.91,RU,2021-09-15 04:35:01
13,Ushuaia,-54.8,-68.3,31.66,86,75,11.5,AR,2021-09-15 04:35:01
14,Bethel,41.3712,-73.414,72.18,90,90,4.61,US,2021-09-15 04:35:01
15,Iqaluit,63.7506,-68.5145,33.53,86,90,2.3,CA,2021-09-15 04:35:04
16,Clyde River,70.4692,-68.5914,28.47,61,12,2.21,CA,2021-09-15 04:35:04
17,Paamiut,61.994,-49.6678,37.36,63,0,20.24,GL,2021-09-15 04:35:04
18,Chuy,-33.6971,-53.4616,45.88,85,1,9.75,UY,2021-09-15 04:35:04
19,Thompson,55.7435,-97.8558,37.56,100,40,0.0,CA,2021-09-15 04:35:05
20,Champerico,14.3,-91.9167,82.35,83,68,3.33,GT,2021-09-15 04:35:05
21,Bunia,1.5667,30.25,64.94,86,81,1.48,CD,2021-09-15 04:35:05
22,Port Alfred,-33.5906,26.891,60.85,74,100,23.13,ZA,2021-09-15 04:35:06
23,Butaritari,3.0707,172.7902,82.58,76,39,11.01,KI,2021-09-15 04:35:06
24,College,64.8569,-147.8028,53.58,57,20,0.0,US,2021-09-15 04:35:06
25,Albany,42.6001,-73.9662,69.64,83,68,1.01,US,2021-09-15 04:35:07
26,Mataura,-46.1927,168.8643,49.48,68,30,6.71,NZ,2021-09-15 04:35:07
27,Angoche,-16.2325,39.9086,75.42,67,41,6.55,MZ,2021-09-15 04:35:07
28,Ulaangom,49.9811,92.0667,61.84,33,32,5.97,MN,2021-09-15 04:35:07
29,Naushki,50.3828,106.1056,64.4,53,2,8.12,RU,2021-09-15 04:35:08
30,Faanui,-16.4833,-151.75,78.22,77,3,18.34,PF,2021-09-15 04:35:08
31,Kukuna,9.4,-12.6667,73.29,99,100,2.84,SL,2021-09-15 04:35:08
32,Punta Arenas,-53.15,-70.9167,35.71,87,75,27.63,CL,2021-09-15 04:35:08
33,Lydenburg,-25.0978,30.4597,57.4,40,0,0.89,ZA,2021-09-15 04:32:31
34,Hilo,19.7297,-155.09,80.33,74,1,3.44,US,2021-09-15 04:34:08
35,Rikitea,-23.1203,-134.9692,74.07,80,65,13.62,PF,2021-09-15 04:35:09
