City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,37.33,73,33,4.18,scattered clouds
1,Busselton,AU,-33.65,115.3333,46.04,77,0,9.04,clear sky
2,Tunceli,TR,39.1083,39.5471,81.46,26,34,8.66,scattered clouds
3,Ahipara,NZ,-35.1667,173.1667,51.15,86,2,1.59,clear sky
4,Iralaya,HN,15.0,-83.2333,86.09,78,67,6.42,broken clouds
5,Ushuaia,AR,-54.8,-68.3,42.42,70,75,4.61,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,48.31,76,75,13.8,broken clouds
7,Pevek,RU,69.7008,170.3133,26.96,82,98,5.17,overcast clouds
8,Beloha,MG,-25.1667,45.05,67.64,70,0,16.89,clear sky
9,Cayenne,GF,4.9333,-52.3333,77.04,88,75,3.44,mist
10,Tuktoyaktuk,CA,69.4541,-133.0374,37.13,80,79,16.02,broken clouds
11,Victoria,HK,22.2855,114.1577,86.32,84,20,6.71,light rain
12,Kavaratti,IN,10.5669,72.642,82.42,77,36,12.08,scattered clouds
13,Onega,RU,63.9061,38.1404,43.05,60,99,5.99,overcast clouds
14,Kavieng,PG,-2.5744,150.7967,80.83,77,100,9.17,light rain
15,Saskylakh,RU,71.9167,114.0833,31.44,84,100,5.79,overcast clouds
16,Monrovia,LR,6.3005,-10.7969,80.1,76,97,3.96,overcast clouds
17,Lebu,CL,-37.6167,-73.65,52.9,61,0,18.05,clear sky
18,Cape Town,ZA,-33.9258,18.4232,61.11,57,2,3.0,clear sky
19,Cap Malheureux,MU,-19.9842,57.6142,69.48,71,9,7.0,clear sky
20,Thompson,CA,55.7435,-97.8558,48.36,93,90,6.91,overcast clouds
21,Deputatskiy,RU,69.3,139.9,20.1,89,89,2.91,overcast clouds
22,Atuona,PF,-9.8,-139.0333,77.68,77,64,22.39,broken clouds
23,Vaini,TO,-21.2,-175.2,69.96,88,75,5.75,light rain
24,Vao,NC,-22.6667,167.4833,69.03,68,85,16.98,overcast clouds
25,Kapaa,US,22.0752,-159.319,77.32,78,75,1.99,broken clouds
26,Raudeberg,NO,61.9875,5.1352,58.78,66,100,7.0,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,13.42,69,35,9.95,scattered clouds
28,Port Lincoln,AU,-34.7333,135.8667,51.66,59,90,20.47,overcast clouds
29,Barrow,US,71.2906,-156.7887,30.22,86,90,26.46,light snow
30,Mahebourg,MU,-20.4081,57.7,69.26,72,89,19.24,light rain
31,Gorontalo,ID,0.5412,123.0595,74.89,96,100,2.04,moderate rain
32,Makakilo City,US,21.3469,-158.0858,75.69,75,1,5.75,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,77.72,66,28,2.17,scattered clouds
34,Tasiilaq,GL,65.6145,-37.6368,37.56,58,100,4.83,overcast clouds
35,Butaritari,KI,3.0707,172.7902,81.0,79,70,11.32,light rain
36,Saint-Augustin,CA,51.226,-58.6502,53.04,32,0,9.35,clear sky
37,Pisco,PE,-13.7,-76.2167,65.01,72,40,9.22,haze
38,Fortuna,US,40.5982,-124.1573,54.48,68,90,0.0,overcast clouds
39,Albany,US,42.6001,-73.9662,71.15,73,0,5.48,clear sky
40,Nikolskoye,RU,59.7035,30.7861,45.01,59,100,10.98,overcast clouds
41,Merauke,ID,-8.4667,140.3333,76.21,89,100,10.47,heavy intensity rain
42,Hilo,US,19.7297,-155.09,72.81,83,90,8.05,light rain
43,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,98,8.01,overcast clouds
44,Massaguet,TD,12.4755,15.4365,93.45,40,100,13.73,overcast clouds
45,Hermanus,ZA,-34.4187,19.2345,60.8,52,7,11.56,clear sky
46,Rikitea,PF,-23.1203,-134.9692,73.62,75,6,16.42,clear sky
47,Mataura,NZ,-46.1927,168.8643,48.47,95,71,3.2,broken clouds
48,Dikson,RU,73.5069,80.5464,33.62,93,100,4.32,overcast clouds
49,Preobrazheniye,RU,42.9019,133.9064,58.98,82,92,4.83,overcast clouds
50,Cabo San Lucas,MX,22.8909,-109.9124,83.14,88,75,8.05,broken clouds
51,Vestmanna,FO,62.1564,-7.1664,50.92,87,90,21.85,overcast clouds
52,Ambilobe,MG,-13.2,49.05,78.96,54,40,7.85,scattered clouds
53,Faanui,PF,-16.4833,-151.75,78.1,69,80,14.45,light rain
54,Roald,NO,62.5833,6.1333,60.94,63,0,9.22,clear sky
55,Batagay,RU,67.6333,134.6333,29.97,83,31,2.62,scattered clouds
56,Yanam,IN,16.7333,82.2167,82.8,87,83,4.07,moderate rain
57,Atar,MR,20.5169,-13.0499,102.36,18,0,13.91,clear sky
58,Bratsk,RU,56.1325,101.6142,46.89,90,100,19.86,moderate rain
59,Moyobamba,PE,-6.05,-76.9667,78.89,68,57,0.29,broken clouds
60,College,US,64.8569,-147.8028,39.52,85,90,11.5,overcast clouds
61,Walvis Bay,NA,-22.9575,14.5053,60.1,59,5,20.98,clear sky
62,Sakata,JP,38.9167,139.855,65.44,71,65,11.68,broken clouds
63,Port Alfred,ZA,-33.5906,26.891,62.01,74,28,33.58,scattered clouds
64,Rocha,UY,-34.4833,-54.3333,67.73,85,88,13.56,overcast clouds
65,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,5.75,moderate rain
66,New Norfolk,AU,-42.7826,147.0587,44.1,68,83,1.99,broken clouds
67,Klaksvik,FO,62.2266,-6.589,52.72,80,24,37.13,few clouds
68,Verkhoturye,RU,58.8627,60.8054,36.36,75,75,4.23,broken clouds
69,East London,ZA,-33.0153,27.9116,65.21,62,48,23.49,scattered clouds
70,Marsh Harbour,BS,26.5412,-77.0636,83.66,71,66,12.12,broken clouds
71,Bonoua,CI,5.2741,-3.595,82.02,67,65,8.14,broken clouds
72,Huarmey,PE,-10.0681,-78.1522,65.77,72,22,7.87,few clouds
73,Vardo,NO,70.3705,31.1107,46.6,66,54,23.49,broken clouds
74,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,10.36,clear sky
75,Port Elizabeth,ZA,-33.918,25.5701,62.1,68,77,35.48,broken clouds
76,Camopi,GF,3.1655,-52.3158,91.87,44,96,5.61,overcast clouds
77,Touros,BR,-5.1989,-35.4608,88.7,54,21,16.24,few clouds
78,Gravdal,NO,68.1214,13.5031,51.69,50,0,13.8,clear sky
79,Filadelfia,US,39.9523,-75.1638,76.21,66,20,1.99,few clouds
80,Khatanga,RU,71.9667,102.5,32.5,99,100,4.94,overcast clouds
81,Kaitangata,NZ,-46.2817,169.8464,43.88,89,50,4.7,scattered clouds
82,Mount Gambier,AU,-37.8333,140.7667,44.4,65,79,13.98,broken clouds
83,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,60.55,98,100,1.03,overcast clouds
84,Ban Tak,TH,17.0432,99.0813,76.1,94,100,3.2,overcast clouds
85,Nabire,ID,-3.3667,135.4833,75.6,91,99,0.81,moderate rain
86,Tefe,BR,-3.3542,-64.7114,91.51,58,40,3.18,scattered clouds
87,Port Hardy,CA,50.6996,-127.4199,51.03,94,100,9.66,moderate rain
88,Nome,US,64.5011,-165.4064,28.47,86,1,3.44,clear sky
89,Seoul,KR,37.5683,126.9778,74.64,70,99,7.49,moderate rain
90,Bluff,NZ,-46.6,168.3333,48.79,81,100,12.1,moderate rain
91,Pimenta Bueno,BR,-11.6725,-61.1936,101.7,23,82,4.45,broken clouds
92,Tiarei,PF,-17.5333,-149.3333,77.02,72,32,13.35,scattered clouds
93,Hamilton,US,39.1834,-84.5333,76.39,89,75,1.01,broken clouds
94,Yar-Sale,RU,66.8333,70.8333,37.04,87,100,15.12,overcast clouds
95,Nhulunbuy,AU,-12.2333,136.7667,77.61,83,40,5.75,scattered clouds
96,Hasaki,JP,35.7333,140.8333,66.6,68,0,12.3,clear sky
97,Bengkulu,ID,-3.8004,102.2655,76.91,88,90,5.44,overcast clouds
98,Healdsburg,US,38.6105,-122.8692,67.69,86,1,0.0,clear sky
99,Guangyuan,CN,32.442,105.823,67.6,88,0,0.94,clear sky
100,Terney,RU,45.0503,136.6092,59.25,52,100,3.06,overcast clouds
101,Avarua,CK,-21.2078,-159.775,75.25,88,20,9.22,few clouds
102,Celarevo,RS,45.2694,19.5253,55.42,78,100,8.43,overcast clouds
103,Vestmannaeyjar,IS,63.4427,-20.2734,50.32,83,89,31.21,overcast clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,55.42,76,75,20.71,broken clouds
105,Kulhudhuffushi,MV,6.6221,73.07,82.31,78,39,8.59,scattered clouds
106,Hobart,AU,-42.8794,147.3294,44.46,73,75,4.0,broken clouds
107,Jamestown,US,42.097,-79.2353,72.01,71,1,3.0,clear sky
108,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,100,14.94,light rain
109,Komsomolskiy,UZ,40.4272,71.7189,72.82,20,0,0.81,clear sky
110,Baykit,RU,61.67,96.37,44.44,96,100,3.36,moderate rain
111,Kruisfontein,ZA,-34.0033,24.7314,59.88,66,59,31.18,broken clouds
112,Laguna,US,38.421,-121.4238,70.05,57,1,1.01,clear sky
113,Bambous Virieux,MU,-20.3428,57.7575,69.22,71,90,19.19,light rain
114,Chokurdakh,RU,70.6333,147.9167,23.4,85,61,6.64,broken clouds
115,Dawson,US,31.7735,-84.4466,79.18,82,90,5.12,overcast clouds
116,Ous,RU,60.9058,61.5186,35.92,73,35,3.96,scattered clouds
117,Cabedelo,BR,-6.9811,-34.8339,84.87,60,28,13.56,scattered clouds
118,Aklavik,CA,68.2191,-135.0107,36.57,73,100,10.49,overcast clouds
119,Saint-Ambroise,CA,48.5501,-71.3324,62.58,47,33,4.07,scattered clouds
120,Portel,BR,-1.9356,-50.8211,93.38,44,88,4.25,overcast clouds
121,Narsaq,GL,60.9167,-46.05,41.22,64,26,3.44,scattered clouds
122,Rugby,GB,52.3709,-1.2642,71.35,58,3,1.01,clear sky
123,Ojinaga,MX,29.5667,-104.4167,84.58,39,1,3.44,clear sky
124,Codrington,AU,-38.2667,141.9667,45.36,75,99,22.48,overcast clouds
125,Labuan,MY,5.2767,115.2417,77.16,73,100,4.94,moderate rain
126,Coahuayana,MX,18.7333,-103.6833,87.28,69,49,2.55,scattered clouds
127,Isangel,VU,-19.55,169.2667,68.49,78,42,10.04,scattered clouds
128,Wyszkow,PL,52.5928,21.4584,50.11,78,100,9.42,overcast clouds
129,Kuryk,KZ,43.2,51.65,76.12,34,4,1.92,clear sky
130,Provideniya,RU,64.3833,-173.3,34.66,59,100,4.83,overcast clouds
131,Kimberley,ZA,-28.7323,24.7623,70.27,13,0,19.28,clear sky
132,Saldanha,ZA,-33.0117,17.9442,57.56,58,0,20.31,clear sky
133,Porto Novo,BJ,6.4965,2.6036,85.03,67,79,10.45,light rain
134,Haines Junction,CA,60.7522,-137.5108,41.56,85,99,2.95,overcast clouds
135,Hay River,CA,60.8156,-115.7999,43.02,91,99,4.76,overcast clouds
136,Saiha,IN,22.4833,92.9667,70.14,98,100,1.95,overcast clouds
137,Mumford,GH,5.2618,-0.759,79.45,80,63,13.94,light rain
138,Tazovskiy,RU,67.4667,78.7,34.79,74,100,17.18,overcast clouds
139,Hithadhoo,MV,-0.6,73.0833,84.18,71,60,9.93,broken clouds
140,Portland,US,45.5234,-122.6762,56.21,95,90,1.99,fog
141,San Patricio,US,28.017,-97.5169,88.88,62,2,7.74,clear sky
142,Kodiak,US,57.79,-152.4072,51.31,62,75,9.22,broken clouds
143,Birao,CF,10.2849,22.7882,81.45,84,61,2.93,light rain
144,Taitung,TW,22.7583,121.1444,81.66,85,34,1.59,scattered clouds
145,Beroroha,MG,-21.6667,45.1667,84.07,23,35,3.09,scattered clouds
146,Buala,SB,-8.145,159.5921,79.38,84,99,9.71,light rain
147,Roshchino,RU,60.2519,29.6085,44.37,60,100,13.71,light rain
148,Alugan,PH,12.2188,125.4808,79.52,84,100,7.9,overcast clouds
149,Conde,BR,-7.2597,-34.9075,83.66,58,75,12.66,broken clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,40,19.57,scattered clouds
151,Cidreira,BR,-30.1811,-50.2056,71.73,82,74,4.16,broken clouds
152,Pimentel,PE,-6.8367,-79.9342,68.29,64,20,9.22,few clouds
153,Maldonado,UY,-34.6667,-54.9167,60.19,94,100,12.91,overcast clouds
154,Ilebo,CD,-4.3167,20.5833,95.92,29,51,2.21,broken clouds
155,Shiraz,IR,29.6036,52.5388,85.44,9,20,6.91,few clouds
156,Sembe,CG,1.6481,14.5806,85.91,60,69,0.85,broken clouds
157,Carnarvon,AU,-24.8667,113.6333,75.27,14,0,14.97,clear sky
158,Georgetown,MY,5.4112,100.3354,78.89,90,20,0.0,few clouds
159,Srednekolymsk,RU,67.45,153.6833,27.46,80,100,15.03,overcast clouds
160,Lorengau,PG,-2.0226,147.2712,79.81,79,100,3.15,light rain
161,Binabalian,PH,16.4202,119.9279,83.39,76,53,5.39,broken clouds
162,Taltal,CL,-25.4,-70.4833,63.01,67,29,6.6,scattered clouds
163,Pullman,US,46.7313,-117.1796,53.83,83,40,4.0,scattered clouds
